#,Database,database id,sub database,PBDB collection #,id,genus,specificEpithet,full,KM notes,preparations,institution Code,collection Code,catalog Number,catalog locality,lat,lng,coordinate uncertainty (meters),coordinatePrecision,continent,country,state/Province,county,locality,formation,Max age Ma,Min age Ma,average age Ma,Method,Citation for age,earliestAgeOrLowestStage,earliestEpochOrLowestSeries,latestAgeOrHighestStage,latestEpochOrHighestSeries,lowestBiostratigraphicZone,highestBiostratigraphicZone,citation
1,GBIF,3072678306,N/A,N/A,192fbc36-0625-4fac-8b17-bde243af64ff,Glyptotherium,floridanum,Glyptotherium floridanum,N/A,fossil - 1,UF,UF,518898,N/A,27.17,-81.89,1200,N/A,NORTH_AMERICA,US,Florida,De Soto,JOSHUA CREEK,N/A,0.24,0.014,0.127,N/A,museum data,N/A,"Pleistocene, late",N/A,N/A,Rancholabrean,N/A,N/A
31,GBIF,2990937890,Arctos,N/A,http://arctos.database.museum/guid/NMMNH:Paleo:67154?seid=4688472,Glyptotherium,N/A,Glyptotherium,Added to PBDB,osteoderm,NMMNHS,Paleontology specimens,NMMNH:Paleo:67154,NMMNH:Paleo:L-11927,Redacted due to NMMNH Policy,N/A,N/A,N/A,NORTH_AMERICA,US,New Mexico,Doña Ana,"Hatch, about 8 miles SW of Hatch, just North of old (abandoned) Hatch Airport",N/A,2.8,2.6,2.7,biostratigraphy/magnetostratigraphy,"Morgan, G. S., & Harris, A. H. (2015). Pliocene and Pleistocene vertebrates of New Mexico. New Mexico Museum of Natural History and Science Bulletin, 68, 233–438.",N/A,Pliocene,N/A,N/A,N/A,N/A,"Morgan, G. S., & Harris, A. H. (2015). Pliocene and Pleistocene vertebrates of New Mexico. New Mexico Museum of Natural History and Science Bulletin, 68, 233–438."
177,GBIF,2417769365,N/A,N/A,a15e4eb1-eee2-4a49-84a6-7f6911eb93a2,Glyptotherium,floridanum,Glyptotherium floridanum,N/A,fossil - 8,UF,UF,463343,N/A,27.6,-82.56,800,N/A,NORTH_AMERICA,US,Florida,Manatee,TERRA CEIA PRESERVE STATE PARK,N/A,0.24,0.014,0.127,N/A,museum data,N/A,Pleistocene,N/A,N/A,Rancholabrean,N/A,N/A
178,GBIF,2351038342,N/A,N/A,dadf3400-990c-4bed-b689-48637a5074f3,Glyptotherium,floridanum,Glyptotherium floridanum,N/A,fossil - 1,UF,UF,461193,N/A,29.53,-81.68,5000,N/A,NORTH_AMERICA,US,Florida,Putnam,ST. JOHNS RIVER,N/A,0.24,0.014,0.127,N/A,museum data,N/A,"Pleistocene, late",N/A,N/A,Rancholabrean,N/A,N/A
183,GBIF,2294362648,N/A,N/A,2e31eb17-5515-4889-bf23-5edb7e55bbd6,Glyptotherium,floridanum,Glyptotherium floridanum,Orginally listed as rancholarean,fossil - 1,UF,UF,461107,UF locality PU005B,29.64,-81.6,250,N/A,NORTH_AMERICA,US,Florida,Putnam,Devil's Elbow 2,Nashua Formation,2.6,2.3,2.45,?,"Hulbert, R. C. (2010). A new early Pleistocene tapir (mammalia: Perissodactyla) from Florida, with a review of Blancan tapirs from the state. Bulletin of the Florida Museum of Natural History, 49(3), 67–126.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
185,GBIF,2237028294,N/A,N/A,bed949f9-fda9-412b-b9be-1996cdf0bcd5,Glyptotherium,floridanum,Glyptotherium floridanum,N/A,fossil - 1,UF,UF,450648,8PU1470,29.37,-81.62,35,N/A,NORTH_AMERICA,US,Florida,Putnam,LAKE GEORGE POINT,N/A,0.24,0.014,0.127,N/A,museum data,N/A,"Pleistocene, late",N/A,N/A,Rancholabrean,N/A,N/A
186,GBIF,1978498482,N/A,N/A,a6fd5511-7b4c-4fa0-96aa-29efe4f97237,Glyptotherium,floridanum,Glyptotherium floridanum,N/A,fossil - 1,UF,UF,437222,N/A,27.58,-82.61,25,N/A,NORTH_AMERICA,US,Florida,Manatee,NO NAME ISLAND,N/A,0.24,0.014,0.127,N/A,museum data,N/A,"Pleistocene, late",N/A,N/A,Rancholabrean,N/A,N/A
187,GBIF,1945667058,N/A,N/A,f22340db-b08b-4cea-8279-717caf859008,Glyptotherium,texanum,Glyptotherium texanum,N/A,fossil - 1,UF,UF,435896,N/A,29.84,-82.7,425,N/A,NORTH_AMERICA,US,Florida,Columbia,Santa Fe River 1,N/A,2.6,2.3,2.45,biostratigraphy,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/sites/santa-fe-river-1-blancan/,N/A,"Pleistocene, early",N/A,N/A,Blancan,N/A,N/A
243,GBIF,1895684816,N/A,N/A,urn:catalog:NO DISPONIBLE:NO DISPONIBLE:NO DISPONIBLE:f0e628ccf4a6927940977fd14ae10dc1,Glyptotherium,N/A,Glyptotherium sp.,N/A,N/A,Comisión nacional para el conocimiento y uso de la biodiversidad,NO DISPONIBLE,NO DISPONIBLE,N/A,18.919443,-98.134177,614,N/A,NORTH_AMERICA,MX,Puebla,N/A,area de localidades de Valsequillo,N/A,0.24,0.014,0.127,N/A,"Ferrusquía-Villafranca, I. et al. (2010) ‘Pleistocene mammals of Mexico: A critical review of regional chronofaunas, climate change response and biogeographic provinciality’, Quaternary International, 217(1–2), pp. 53–104. doi: 10.1016/j.quaint.2009.11.036.",N/A,N/A,N/A,N/A,Rancholabrean,N/A,N/A
248,GBIF,1895684807,N/A,N/A,urn:catalog:NO DISPONIBLE:NO DISPONIBLE:NO DISPONIBLE:6a663d95cb26570c9e33bc1c926b5e83,Glyptotherium,N/A,Glyptotherium sp.,N/A,N/A,Comisión nacional para el conocimiento y uso de la biodiversidad,NO DISPONIBLE,NO DISPONIBLE,N/A,23.825,-100.725,70,N/A,NORTH_AMERICA,MX,San Luis Potosi,N/A,El Cedral. Rancho La Amapola,N/A,0.0333,0.00248,0.01789,radiometric,"Pérez-Crespo, V. A. et al. (2019) ‘Paleoambiente en cuatro sitios mexicanos del Pleistoceno tardío con actividad humana inferidos a partir de la fauna’, Boletin de la Sociedad Geologica Mexicana, 71(2), pp. 343–358. doi: 10.18268/BSGM2019v71n2a7.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
